name,object_id,tract,patch,visit,ccd,filter,pointing,mjd,exptime,seeing,zeropt,maglimit
cid_1205,43158739083084985,9813,505,18478,56,y,1113,57040.3625245108,360.0,1.0908527,31.979729,
cid_1205,43158739083084985,9813,505,18480,49,y,1113,57040.3670665463,360.0,1.1936387,31.955225,
cid_1205,43158739083084985,9813,505,18482,32,y,1113,57040.3716509012,360.0,1.0531529,31.980227,
cid_1205,43158739083084985,9813,505,18484,31,y,1113,57040.3762103417,360.0,0.93518925,32.01382,
cid_1205,43158739083084985,9813,505,18486,55,y,1113,57040.3807514692,360.0,1.1434292,32.000687,
cid_1205,43158739083084985,9813,505,18488,58,y,1113,57040.3857746799,360.0,1.0955101,31.98522,
cid_1205,43158739083084985,9813,505,18490,41,y,1113,57040.3903601165,360.0,1.1538266,31.951622,
cid_1205,43158739083084985,9813,505,18492,56,y,1113,57040.3949381686,360.0,1.0761666,31.976202,
cid_1205,43158739083084985,9813,505,18494,73,y,1113,57040.3995206393,360.0,1.142332,31.99276,
cid_1205,43158739083084985,9813,505,18498,26,y,1113,57040.4091772912,360.0,1.0898196,31.966394,
cid_1205,43158739083084985,9813,505,18500,33,y,1113,57040.4138106634,360.0,0.9084499,31.987606,
cid_1205,43158739083084985,9813,505,18502,50,y,1113,57040.4183614152,360.0,0.86740303,31.989742,
cid_1205,43158739083084985,9813,505,18504,51,y,1113,57040.4228970003,360.0,0.868462,32.033413,
cid_1205,43158739083084985,9813,505,18506,27,y,1113,57040.4275068287,360.0,0.72033584,32.038574,
cid_1205,43158739083084985,9813,505,18508,24,y,1113,57040.4325634968,360.0,0.6950037,32.053642,
cid_1205,43158739083084985,9813,505,18510,41,y,1113,57040.4371491265,360.0,0.6927222,32.05104,
cid_1205,43158739083084985,9813,505,18512,34,y,1113,57040.4417323386,360.0,0.776657,32.039215,
cid_1205,43158739083084985,9813,505,18514,12,y,1113,57040.4463163083,360.0,0.8781612,32.064583,
cid_1205,43158739083084985,9813,505,18516,11,y,1113,57040.4508619308,360.0,0.74879384,32.08064,
cid_1205,43158739083084985,9813,505,18518,56,y,1113,57040.4572824854,360.0,0.63305306,32.046837,
cid_1205,43158739083084985,9813,505,18520,49,y,1113,57040.4618340298,360.0,0.795737,32.03956,
cid_1205,43158739083084985,9813,505,18522,32,y,1113,57040.4664216931,360.0,0.87897956,32.022583,
cid_1205,43158739083084985,9813,505,18524,31,y,1113,57040.4709721697,360.0,0.9017417,32.064102,
cid_1205,43158739083084985,9813,505,18526,55,y,1113,57040.4755151002,360.0,1.117138,32.0381,
cid_1205,43158739083084985,9813,505,18532,56,y,1113,57040.4896493559,360.0,0.96383095,32.02776,
cid_1205,43158739083084985,9813,505,18534,73,y,1113,57040.4942305777,360.0,0.8464733,32.058388,
cid_1205,43158739083084985,9813,505,18536,74,y,1113,57040.4988252544,360.0,0.7957059,32.0643,
cid_1205,43158739083084985,9813,505,18538,26,y,1113,57040.5038501932,360.0,0.69875926,32.04044,
cid_1205,43158739083084985,9813,505,18540,33,y,1113,57040.5083976607,360.0,0.65427804,32.021534,
cid_1205,43158739083084985,9813,505,18542,50,y,1113,57040.5129786008,360.0,0.7412701,32.041477,
cid_1205,43158739083084985,9813,505,18544,51,y,1113,57040.5175273451,360.0,0.7620332,32.083332,
cid_1205,43158739083084985,9813,505,18546,27,y,1113,57040.5221151095,360.0,0.7460524,32.060402,
cid_1205,43158739083084985,9813,505,18548,24,y,1113,57040.5271348474,360.0,0.8071941,32.025635,
cid_1205,43158739083084985,9813,505,18550,41,y,1113,57040.5317516867,360.0,0.8636337,32.03722,
cid_1205,43158739083084985,9813,505,18552,34,y,1113,57040.5363245248,360.0,0.70333755,32.06499,
cid_1205,43158739083084985,9813,505,18554,12,y,1113,57040.5409070859,360.0,0.77240175,32.0519,
cid_1205,43158739083084985,9813,505,18556,11,y,1113,57040.5454916195,360.0,1.1055193,32.035107,
