name,night_mjd,n_exposures,mjd_start,mjd_last,mjd_end,filters,date_utc,duration_start_to_start_h,duration_start_to_end_h
cid_2550,57776,18,57776.35023231,57776.59772333,57776.60119555222,"i2,r2",2017-01-23,5.9397844800841995,6.023117813339923
cid_2550,57783,29,57783.39695087,57783.60382735,57783.606952350005,"i2,z",2017-01-30,4.965035519970115,5.0400355200399645
cid_2550,57787,15,57787.39552512,57787.59872519,57787.60219741222,y,2017-02-03,4.876801679958589,4.9601350132143125
cid_2550,57807,13,57807.32375599,57807.50599385,57807.50807718333,"g,r2",2017-02-23,4.373708639934193,4.423708639922552
cid_2550,57809,13,57809.26863063,57809.4444633,57809.447588300005,i2,2017-02-25,4.2199840800021775,4.294984080072027
cid_2550,57816,26,57816.25835961,57816.508738,57816.512210222216,"i2,z",2017-03-04,6.009081359894481,6.092414693150204
cid_2550,57819,14,57819.39389176,57819.53157584,57819.53504806222,y,2017-03-07,3.304417920007836,3.387751253263559
cid_2550,57834,23,57834.27387879,57834.48116411,57834.484289110005,"g,z",2017-03-22,4.974847680015955,5.049847680085804
cid_2550,57841,18,57841.26791919,57841.42763926,57841.43111148222,"g,z",2017-03-29,3.8332816799520515,3.9166150132077746
cid_2550,57842,24,57842.24976169,57842.37202824,57842.37550046222,"i2,y",2017-03-30,2.934397200064268,3.017730533319991
cid_2550,57866,17,57866.24076716,57866.3822219,57866.38569412222,"r2,z",2017-04-23,3.3949137599556707,3.478247093211394
cid_2550,58161,11,58161.29923082,58161.41950248,58161.42991914666,N1010,2018-02-12,2.8865198400453664,3.1365198399871588
cid_2550,58162,13,58162.29133877,58162.42372641,58162.434143076665,N1010,2018-02-13,3.177303359960206,3.427303359901998
cid_2550,58488,17,58488.40365477,58488.65338457,58488.66380123667,N1010,2019-01-05,5.9935152000398375,6.24351519998163
cid_2550,58612,22,58612.23635759,58612.38425353,58612.38772575222,i2,2019-05-09,3.5495025599375367,3.63283589319326
cid_268,56743,33,56743.292179517,56743.4162245691,56743.41900234688,i,2014-03-27,2.977081250399351,3.0437479171087034
cid_268,56744,34,56744.2640005946,56744.5061037191,56744.5092287191,"i,r,z",2014-03-28,5.810474987898488,5.885474987968337
cid_268,57038,26,57038.5296832784,57038.6641291846,57038.667254184606,z,2015-01-16,3.226701748848427,3.3017017489182763
cid_268,57040,37,57040.3625245108,57040.5454916195,57040.54965828617,y,2015-01-18,4.3912106088828295,4.4912106088595465
cid_268,57097,19,57097.2391047985,57097.440443676,57097.443568676004,"N921,z",2015-03-16,4.8321330600301735,4.907133060100023
cid_268,57099,20,57099.2248146622,57099.4545511203,57099.456634453636,"N921,r",2015-03-18,5.513674994464964,5.563674994453322
cid_268,57101,14,57101.2274189992,57101.3925496228,57101.3956746228,"N921,i",2015-03-20,3.963134966266807,4.038134966336656
cid_268,57427,24,57427.3115773117,57427.5655354643,57427.57595213097,"N816,i2",2016-02-09,6.094995662395377,6.344995662337169
cid_268,57487,15,57487.2348038596,57487.397550921,57487.407967587664,N921,2016-04-09,3.905929473519791,4.155929473461583
cid_268,57489,15,57489.2291235193,57489.3913163249,57489.401732991566,N921,2016-04-11,3.892627334513236,4.142627334455028
cid_268,57715,28,57715.51913213,57715.64779635,57715.65126857222,"y,z",2016-11-23,3.0879412799840793,3.1712746132398024
cid_268,57745,17,57745.47073222,57745.64726794,57745.65074016222,z,2016-12-23,4.236857280135155,4.320190613390878
cid_268,57755,27,57755.42842293,57755.62697091,57755.63044313222,"g,i2,z",2017-01-02,4.76515151996864,4.848484853224363
cid_268,57774,21,57774.43471045,57774.55846002,57774.561585020005,z,2017-01-21,2.9699896801030263,3.0449896801728755
cid_268,57776,24,57776.35023231,57776.59772333,57776.60119555222,"i2,r2",2017-01-23,5.9397844800841995,6.023117813339923
cid_268,57783,33,57783.39695087,57783.61085843,57783.613983430005,"i2,z",2017-01-30,5.133781439973973,5.208781440043822
cid_268,57787,19,57787.39552512,57787.59872519,57787.60219741222,y,2017-02-03,4.876801679958589,4.9601350132143125
cid_268,57807,19,57807.31887945,57807.51331382,57807.51539715334,"g,r2",2017-02-23,4.666424880037084,4.716424880025443
cid_268,57809,14,57809.26863063,57809.44058324,57809.44405546222,i2,2017-02-25,4.126862639968749,4.210195973224472
cid_268,57816,28,57816.2654603,57816.508738,57816.512210222216,"i2,z",2017-03-04,5.838664799986873,5.921998133242596
cid_268,57819,15,57819.39389176,57819.53157584,57819.53504806222,y,2017-03-07,3.304417920007836,3.387751253263559
