name,object_id,tract,patch,visit,ccd,filter,pointing,mjd,exptime,seeing,zeropt,maglimit,measurement_status,warp_x,warp_y,pixel_scale_arcsec,aperture_radius_arcsec,annulus_inner_arcsec,annulus_outer_arcsec,aperture_pixels,finite_aperture_pixels,valid_aperture_pixels,annulus_pixels,finite_annulus_pixels,valid_annulus_pixels,masked_aperture_pixels,masked_annulus_pixels,nonzero_mask_aperture_pixels,nonzero_mask_annulus_pixels,bad_mask_bits,bad_mask_planes,sky_median_counts_per_pixel,sky_sigma_counts_per_pixel,aperture_flux_counts,aperture_flux_err_counts,variance_only_flux_err_counts,aperture_flux_njy,aperture_flux_err_njy,snr,aperture_mag_ab,aperture_magerr_ab,fluxmag0,hours_since_start,valid_aperture_fraction,valid_annulus_fraction
cid_1205,43158739083084985,9813,505,18478,56,y,1113,57040.3625245108,360.0,1.0908527,31.979729,,ok,47.620581349479835,47.48841202625954,0.16799999999990095,1.0,2.0,3.5,114,114,114,922,922,922,0,0,0,117,4383,"BAD,SAT,INTRP,CR,EDGE,NO_DATA,UNMASKEDNAN",0.023654543794691563,0.5810611889630556,25.939414787106216,6.120660286242949,5.71868933192107,1492.6575219654908,352.20723715776643,4.238009230051327,23.465099565386733,0.25619014632136133,63095734448.01944,0.0,1.0,1.0
cid_1205,43158739083084985,9813,505,18480,49,y,1113,57040.3670665463,360.0,1.1936387,31.955225,,ok,47.620581349479835,47.48841202625954,0.16799999999990095,1.0,2.0,3.5,114,114,114,922,791,739,0,183,25,622,4383,"BAD,SAT,INTRP,CR,EDGE,NO_DATA,UNMASKEDNAN",0.025741979479789734,0.4951673773437738,35.28283874783665,5.409757802922518,4.995355162260877,2030.3154518132114,311.2990691122926,6.522073636785693,23.13109120036671,0.16647101293588248,63095734448.01944,0.10900885204318911,1.0,0.8015184381778742
cid_1205,43158739083084985,9813,505,18482,32,y,1113,57040.3716509012,360.0,1.0531529,31.980227,,ok,47.620581349479835,47.48841202625954,0.16799999999990095,1.0,2.0,3.5,114,114,114,922,922,922,0,0,114,251,4383,"BAD,SAT,INTRP,CR,EDGE,NO_DATA,UNMASKEDNAN",0.04327726177871227,0.48541753219664097,35.10522734001279,5.134187350418437,4.7998507865174425,2020.0949820743588,295.44164472020066,6.837543109359207,23.13657052536736,0.15879039991308827,63095734448.01944,0.21903336967807263,1.0,1.0
cid_1205,43158739083084985,9813,505,18484,31,y,1113,57040.3762103417,360.0,0.93518925,32.01382,,ok,47.620581349479835,47.48841202625954,0.16799999999990095,1.0,2.0,3.5,114,114,114,922,922,922,0,0,113,298,4383,"BAD,SAT,INTRP,CR,EDGE,NO_DATA,UNMASKEDNAN",-0.00649151555262506,0.46563750547938976,31.5631546897348,5.041623778667821,4.7288286246535325,1816.2699756823968,290.11516712741286,6.260513690705205,23.252048990536004,0.17342605709338021,63095734448.01944,0.3284599417238496,1.0,1.0
cid_1205,43158739083084985,9813,505,18486,55,y,1113,57040.3807514692,360.0,1.1434292,32.000687,,ok,47.620581349479835,47.48841202625954,0.16799999999990095,1.0,2.0,3.5,114,114,114,922,922,922,0,0,114,513,4383,"BAD,SAT,INTRP,CR,EDGE,NO_DATA,UNMASKEDNAN",0.06572573632001877,0.5192244994461536,23.477857921272516,5.251024604450515,4.875777983332015,1351.0097091027717,302.1649269340871,4.471100345135275,23.573353824716193,0.24283422892520207,63095734448.01944,0.43744700169190764,1.0,1.0
cid_1205,43158739083084985,9813,505,18488,58,y,1113,57040.3857746799,360.0,1.0955101,31.98522,,ok,47.620581349479835,47.48841202625954,0.16799999999990095,1.0,2.0,3.5,114,114,114,922,922,922,0,0,82,209,4383,"BAD,SAT,INTRP,CR,EDGE,NO_DATA,UNMASKEDNAN",0.010191135108470917,0.4994107206255197,21.564039388249512,5.250760781086305,4.9045824357440475,1240.8809474310272,302.14974548407014,4.1068409488249875,23.665674708932404,0.26437259642810623,63095734448.01944,0.5580040583736263,1.0,1.0
cid_1205,43158739083084985,9813,505,18490,41,y,1113,57040.3903601165,360.0,1.1538266,31.951622,,ok,47.620581349479835,47.48841202625954,0.16799999999990095,1.0,2.0,3.5,114,114,92,922,922,896,22,26,22,335,4383,"BAD,SAT,INTRP,CR,EDGE,NO_DATA,UNMASKEDNAN",0.07744063809514046,0.46700284135267134,14.438877342268825,4.339840494336347,4.095610856311651,830.870667305406,249.7317542114161,3.327052540551225,24.10116643225734,0.3263357556049431,63095734448.01944,0.6680545368581079,0.8070175438596491,0.9718004338394793
cid_1205,43158739083084985,9813,505,18492,56,y,1113,57040.3949381686,360.0,1.0761666,31.976202,,ok,47.620581349479835,47.48841202625954,0.16799999999990095,1.0,2.0,3.5,114,114,114,922,922,922,0,0,114,330,4383,"BAD,SAT,INTRP,CR,EDGE,NO_DATA,UNMASKEDNAN",0.06480029597878456,0.4125013903476298,29.78403148520738,4.5066997687509165,4.232245104891402,1713.8921211495626,259.33350325274046,6.608834183214819,23.315041294223306,0.16428558723953046,63095734448.01944,0.7779277873341925,1.0,1.0
cid_1205,43158739083084985,9813,505,18494,73,y,1113,57040.3995206393,360.0,1.142332,31.99276,,ok,47.620581349479835,47.48841202625954,0.16799999999990095,1.0,2.0,3.5,114,114,114,922,922,922,0,0,33,274,4383,"BAD,SAT,INTRP,CR,EDGE,NO_DATA,UNMASKEDNAN",0.03655955754220486,0.43349069524146616,16.6927853791276,4.53404584785898,4.231883479061824,960.5695372547785,260.90710585757654,3.6816534149097966,23.943677975878938,0.29490451229362413,63095734448.01944,0.8879070840775967,1.0,1.0
cid_1205,43158739083084985,9813,505,18498,26,y,1113,57040.4091772912,360.0,1.0898196,31.966394,,ok,47.620581349479835,47.48841202625954,0.16799999999990095,1.0,2.0,3.5,114,114,114,922,922,922,0,0,82,442,4383,"BAD,SAT,INTRP,CR,EDGE,NO_DATA,UNMASKEDNAN",0.015762536320835352,0.41025495705306525,17.434293718077242,4.32066833697737,4.036803543546877,1003.2388884647947,248.62851170848936,4.035091878927655,23.896489104166342,0.2690734777138876,63095734448.01944,1.1196667296462692,1.0,1.0
